업소명,소재지(도로명),소재지전화
은성식당,"대전광역시 중구 대둔산로 505, 1층 (유천동)",042-583-7184
요리나무,대전광역시 중구 목동로 23-8 (목동),042-221-2240
서광식당,대전광역시 중구 선화로 136 (선화동),042-254-1063
대성관,대전광역시 중구 계백로1584번길 114 (유천동),042-582-9182
한양왕족발,"대전광역시 중구 선화서로52번길 6, 1층 (선화동)",042-222-7353
운전사의집,대전광역시 중구 대전천서로 499 (은행동),042-254-3740
사나이창,"대전광역시 중구 계룡로874번길 5, 1층 (오류동)",042-522-9285
키레이라멘,"대전광역시 중구 중앙로137번길 64, 1층 (선화동)",
계동치킨부사석교점,대전광역시 중구 보문로 73-1 (부사동),042-255-3373
나비식당,"대전광역시 중구 보문로 69, 1층 (부사동)",
페리카나치킨,"대전광역시 중구 대전천서로 503 (은행동,,4,2-1(1층))",
골목고기촌,대전광역시 중구 보문로68번길 3 (부사동),042-254-7584
미미램,대전광역시 중구 보문로262번길 45 (대흥동),042-255-6913
동키치킨앤피자,대전광역시 중구 선화서로 2 (대흥동),042-253-8105
미소칼국수,대전광역시 중구 유천로132번길 27 (태평동),042-525-4298
앵두식당,"대전광역시 중구 보문로 67-3, 1층 (부사동)",042-254-6585
새로남기사식당,대전광역시 중구 오류로 114-1 (오류동),042-533-0608
스테이블,"대전광역시 중구 중교로 41, 1층 (대흥동)",042-255-1221
예성칼국수,대전광역시 중구 오류로 109 (오류동),042-524-8612
발롱도르,"대전광역시 중구 중앙로122번길 34, 2층 (대흥동)",042-223-7717
대박이네,"대전광역시 중구 문화로 79 (유천동,.22)",
황기족발집,대전광역시 중구 계백로 1697-7 (오류동),042-527-4322
육첩반상대전은행동점,"대전광역시 중구 중앙로164번길 26, 1층 (은행동)",042-255-7432
삼성식당,"대전광역시 중구 계룡로 860-13, 1층 (오류동)",042-533-8745
마린회전초밥전문점,대전광역시 중구 중앙로156번길 42 (은행동),042-257-4999
연아식당,대전광역시 중구 유천로 57-9 (유천동),042-583-8956
동방식당,대전광역시 중구 대종로517번길 47 (선화동),042-226-1811
킹왕짱,대전광역시 중구 인창로 21 (문창동),042-222-0858
돈드림병천순대,대전광역시 중구 대흥로 12 (문화동),042-256-9955
본가아구와동태찜,대전광역시 중구 대종로549번길 34 (선화동),042-255-0088
와와돈,"대전광역시 중구 중앙로170번길 28, 2층 (은행동)",042-226-0960
따끈따끈족이좋아,대전광역시 중구 대흥로165번길 28 (대흥동),042-222-8080
홍보장,대전광역시 중구 목중로 18 (중촌동),042-254-8759
부성비어비어,대전광역시 중구 선화로 126-5 (선화동),042-221-2042
진부령통황태탕,대전광역시 중구 계룡로 909 (문화동),042-226-0108
부어치킨앤푸드,"대전광역시 중구 선화로 118, 1층 (선화동)",042-255-1132
태화원,대전광역시 중구 중앙로112번길 43 (대흥동),042-255-1688
카페빈,"대전광역시 중구 중앙로156번길 28 (은행동,,2(지상2~3층))",042-254-0748
페리카나대흥분점식당,"대전광역시 중구 테미로 31-1, 1층 (대흥동)",042-256-6213
탑집식당,대전광역시 중구 선화서로19번길 44 (선화동),042-257-1140
해피하우스,대전광역시 중구 충무로 147 (부사동),042-253-6911
해금생선구이,대전광역시 중구 보문로 307 (선화동),042-252-8388
일.이.삼식당,"대전광역시 중구 계룡로881번길 33 (용두동,(지상1층))",042-255-2651
삼성관식당,대전광역시 중구 계룡로 852 (오류동),042-525-3397
선화동소머리해장국,대전광역시 중구 선화로 128 (선화동),042-242-5529
정글,대전광역시 중구 중앙로16번길 31 (문화동),042-253-7573
아라비아식당,"대전광역시 중구 보문로254번길 53 (대흥동,(1층))",042-252-4646
왕비성,대전광역시 중구 중앙로121번길 38 (선화동),042-226-2829
양지식당,"대전광역시 중구 대흥로 69, 1층 (대흥동)",042-042-
귀빈식당,대전광역시 중구 중교로 51 (대흥동),042-242-3355
황금기사식당,대전광역시 중구 충무로 122-1 (대사동),042-256-7553
이화닭도리탕,"대전광역시 중구 유천로 45-1, 1층 (유천동)",042-581-9277
요리왕식당,대전광역시 중구 보문로260번길 8 (대흥동),042-532-1529
술술동동식당,대전광역시 중구 중앙로164번길 38 (은행동),042-255-9218
은행골식당,"대전광역시 중구 중앙로 169-2, 1층 (은행동)",042-221-3150
대원식당,"대전광역시 중구 문화로 273, 1층 (대사동)",042-253-4219
홍콩야시장,"대전광역시 중구 보문로260번길 64, 2층 (대흥동)",042-222-7155
한양식당,대전광역시 중구 보문로 315 (선화동),042-254-9975
덕성식당,대전광역시 중구 대둔산로 486 (산성동),042-581-5291
한점승부,"대전광역시 중구 계룡로882번길 22, 1층 (오류동)",
영재식당,대전광역시 중구 유천로102번길 17 (유천동),042-527-4438
제주삼겹식당,대전광역시 중구 보문로337번길 22 (선화동),042-221-1832
오구쌀피자,"대전광역시 중구 대종로 53 (옥계동,,6)",042-285-0059
무겐식당,대전광역시 중구 오류로 26 (오류동),042-673-0301
이포크축산직영정육식당,대전광역시 중구 중앙로16번길 30 (문화동),042-221-0092
해랑일식,대전광역시 중구 계룡로882번길 50 (오류동),042-385-0854
낭만취객,대전광역시 중구 계룡로874번길 4 (오류동),042-523-6392
중국대반점,대전광역시 중구 대흥로165번길 6 (대흥동),042-257-8400
꼴까닭,대전광역시 중구 대종로 182 (석교동),042-272-8228
민스은행점,대전광역시 중구 대종로480번길 24 (은행동),042-252-5694
술통,대전광역시 중구 보문로 65 (부사동),
퐁당,대전광역시 중구 중앙로79번길 62 (선화동),042-256-8896
다정식당,대전광역시 중구 보문산공원로 477-2 (대사동),042-252-4322
친구만들기식당,대전광역시 중구 보문로 149 (대사동),
페리카나옥계점,대전광역시 중구 대종로 59 (옥계동),042-272-9292
쪽방집별관,"대전광역시 중구 보문로254번길 46 (대흥동,(1층))",042-586-8292
마님푸드,"대전광역시 중구 유천로132번길 21-24 (태평동,.2)",042-533-5876
잭아저씨족발보쌈,"대전광역시 중구 중앙로130번길 41, 1층 (대흥동)",042-242-7778
페리카나치킨중촌목동점,"대전광역시 중구 대종로 670, 1층 (중촌동)",042-252-9696
동락식당,대전광역시 중구 태평로 110-1 (태평동),
요런요치킨,"대전광역시 중구 산성로 55 (산성동,(1층))",042-581-0766
혜빈식당,대전광역시 중구 문화로87번길 83 (유천동),042-582-6190
대복상회,"대전광역시 중구 계룡로874번길 14, 1층 (오류동)",042-527-2569
투다리한방점,대전광역시 중구 대흥로 178 (대흥동),042-223-0633
페리카나치킨유천분점,대전광역시 중구 문화로 71-1 (유천동),
일품참치,대전광역시 중구 보문로262번길 44 (대흥동),042-226-1337
옴시롱감시롱식당,대전광역시 중구 대종로386번길 71 (문창동),042-255-0553
동원식당,대전광역시 중구 중교로 29-1 (대흥동),042-252-3620
투다리부사점,대전광역시 중구 보문로 65 (부사동),042-252-9398
만남의광장,대전광역시 중구 중앙로130번길 28 (대흥동),
초코렛퐁당,"대전광역시 중구 중교로73번길 14, 1층 (은행동)",042-257-7235
소담밥집,대전광역시 중구 대종로610번길 5 (선화동),042-255-8235
서울북어전문,대전광역시 중구 동서대로1439번길 35 (중촌동),042-253-1374
행복식당,대전광역시 중구 동서대로1403번길 2 (목동),
소선생,"대전광역시 중구 계룡로882번길 48, 1층 (오류동)",042-535-8118
돈이돈이식당,"대전광역시 중구 충무로 175, 1층 (문창동)",042-256-5288
영대영불고기식당,대전광역시 중구 문창로 136 (대흥동),042-256-4522
청운집,"대전광역시 중구 중교로 98 (대흥동,,1-5, 1-6(1층))",042-254-0016
만향,"대전광역시 중구 수침로55번길 9, 1층 (태평동)",042-531-3475
예진식당,"대전광역시 중구 중촌로 41, 1층 (중촌동)",042-242-3939
껌뻑밀면,대전광역시 중구 중앙로13번길 18 (용두동),042-256-9295
한방콩나물국밥,"대전광역시 중구 대둔산로 530, 1층 (유천동)",
파란신호등,대전광역시 중구 계룡로874번길 65 (오류동),042-537-4237
자연산횟집,대전광역시 중구 유천로86번길 20 (유천동),042-535-7132
밥통령,"대전광역시 중구 계백로 1701-18, 1층 (오류동)",
처갓집양념치킨태평점,"대전광역시 중구 수침로55번길 7 (태평동,(1층))",042-525-6720
초량식당,대전광역시 중구 중앙로121번길 58 (선화동),042-226-1386
옥천식당,대전광역시 중구 당디로 79 (산성동),042-584-2217
청학동식당,대전광역시 중구 대종로315번길 9 (부사동),042-253-8630
카페쏨,대전광역시 중구 대종로 381 (대사동),
금남식당,"대전광역시 중구 유등천동로324번길 64, 1층 (유천동)",042-583-3986
복수분식,대전광역시 중구 목동로22번길 23 (목동),042-254-8750
버닝뮤직,"대전광역시 중구 목중로 35, 지하1층 (목동)",042-226-3983
은하식당,"대전광역시 중구 선화서로 112, 1층 (선화동)",042-221-6958
보성댁식당,대전광역시 중구 유등천동로 346 (산성동),
페리카나치킨태평2체인점,"대전광역시 중구 동서대로 1238 (태평동,,8)",042-042-
다정식당,대전광역시 중구 대종로549번길 29 (선화동),042-252-1063
교원파닭치킨,대전광역시 중구 계룡로882번길 13 (오류동),
일차돌목동점,대전광역시 중구 목중로 35 (목동),042-226-9290
페리카나유천2체인점,대전광역시 중구 계백로 1626-1 (유천동),042-585-7789
의정부아우네부대찌개,대전광역시 중구 목중로 39 (목동),042-254-3648
만우정,"대전광역시 중구 보문로260번길 10, 1층 (대흥동)",042-253-6696
장터치킨,대전광역시 중구 보문로 87 (부사동),042-252-5156
미성복집,대전광역시 중구 계룡로882번길 32 (오류동),042-525-0346
신가나식당,"대전광역시 중구 대종로529번길 44, 1층 (선화동)",042-254-3958
부산밀면,대전광역시 중구 중촌로28번길 28 (중촌동),042-252-8746
호수식당,대전광역시 중구 목척4길 60 (은행동),042-257-7776
천궁,"대전광역시 중구 중촌로28번길 40, 1층 (중촌동)",042-223-7400
실비식당,대전광역시 중구 선화로 126-10 (선화동),042-255-2472
오복집,대전광역시 중구 대종로501번길 30 (선화동),042-226-6610
우리밀 손칼국수,"대전광역시 중구 오류로 109 (오류동,(1층))",042-534-8277
맛집명가,"대전광역시 중구 당디로 60, 1층 (산성동)",042-584-9289
영광민물장어식당,"대전광역시 중구 보문로 213 (대흥동,(1층))",042-257-2388
심야식당11월6일,대전광역시 중구 유천로86번길 31 (유천동),042-534-6562
미리내식당,대전광역시 중구 보문로336번길 9 (선화동),042-257-4655
서울회관,대전광역시 중구 동서대로1440번길 44 (선화동),042-255-0605
만남의광장식당,대전광역시 중구 중촌로28번길 50 (중촌동),042-257-9079
오마니식당,"대전광역시 중구 문화로 27 (산성동,,8)",042-042-
김가홍두깨칼국수,대전광역시 중구 수침로 59 (태평동),042-535-2006
하림식당,"대전광역시 중구 대종로 401-1 (대흥동,(1층))",042-254-3913
김박사네 식당,"대전광역시 중구 목척7길 14 (은행동, ,114-36)",
이서방치킨,대전광역시 중구 중촌로 26 (중촌동),042-256-8154
멕시카나부사점,대전광역시 중구 부용로 5 (부사동),042-252-2069
갯벌바지락손칼국수,대전광역시 중구 수침로 104 (태평동),042-523-1198
소담동태탕닭볶음탕,"대전광역시 중구 어덕마을로 168, 1층 (중촌동)",042-256-3660
전주골식당,대전광역시 중구 대종로460번길 42 (대흥동),042-256-9892
진성아구찜,대전광역시 중구 대종로 43 (옥계동),042-273-0390
공주식당,"대전광역시 중구 계룡로921번길 37, 1층 (대사동)",042-252-4381
_식당,대전광역시 중구 대둔산로 496 (유천동),042-584-5436
할머니순대,대전광역시 중구 동서대로1304번길 43 (오류동),042-527-7277
대서양회관,"대전광역시 중구 대종로 370 (부사동,(지하1층))",042-252-5957
울랄라,대전광역시 중구 보문로 131 (대사동),042-252-0385
충남장어구이,"대전광역시 중구 대흥로121번길 28 (대흥동,(1,2층))",042-255-9897
수원뚝배기식당,대전광역시 중구 보문로162번길 60 (대사동),042-042-
한가네생고기,대전광역시 중구 대전천서로 663 (중촌동),042-253-5999
신도칼국수중촌점,대전광역시 중구 대전천서로 679-1 (중촌동),042-272-6799
일미식당,대전광역시 중구 문창로 22-39 (문창동),042-272-0901
이가네청양골흑염소,대전광역시 중구 수침로111번길 40 (태평동),042-522-5288
장가계,"대전광역시 중구 당디로 64, 1층 (산성동)",042-585-4494
장수식당,"대전광역시 중구 대종로584번길 55 (선화동,(1층))",042-252-8333
부길식당,대전광역시 중구 유천로132번길 78 (태평동),042-521-0501
대청갈비,대전광역시 중구 보문산로 95 (산성동),042-581-3984
한성식당,대전광역시 중구 유천로47번길 51 (유천동),042-042-
멕시카나유천점,대전광역시 중구 유천로33번길 117 (유천동),042-583-6161
대돌배기오류점,"대전광역시 중구 계룡로882번길 30, 1층 (오류동)",042-523-8533
천근돼지촌,대전광역시 중구 천근로19번길 5 (문화동),042-582-6935
옹심이메밀칼국수,"대전광역시 중구 계룡로904번길 19, 1층 (문화동)",042-536-9982
소머리국밥,"대전광역시 중구 중촌로 40, 1층 (중촌동)",
목동밀칼국수,대전광역시 중구 목중로 3 (목동),042-257-2377
천하식당,대전광역시 중구 중앙로79번길 87 (선화동),042-252-5050
종로할머니손칼국수,대전광역시 중구 대흥로71번길 19 (대흥동),042-254-2600
안양해물탕집,대전광역시 중구 어덕마을로 146 (중촌동),042-254-5669
산성소곱창전골,대전광역시 중구 산성로 5-1 (산성동),
복돼지,"대전광역시 중구 유천로 58 (유천동,(1층))",042-528-7833
1943대전대흥점,"대전광역시 중구 중앙로130번길 35, 2층 (대흥동)",042-226-1121
신가네콩나물삼겹살,대전광역시 중구 대종로529번길 42 (선화동),042-253-5686
현대식당,"대전광역시 중구 중앙로130번길 37-10, 1~2층 (대흥동)",
고향,"대전광역시 중구 보문산공원로 524-2, 1층 (대사동)",042-252-2510
부산식당,"대전광역시 중구 대종로 64, 1층 (옥계동)",042-284-9850
준이네식당,대전광역시 중구 대전천서로 557 (선화동),042-257-3085
바로그집식당,"대전광역시 중구 중앙로 지하 145, C-나-61,62,63호 (대흥동, 지하상가)",042-254-8925
식도원버섯마을,"대전광역시 중구 대종로333번길 15 (부사동,,8,10,12,13)",042-253-2014
함지박식당,대전광역시 중구 계백로1615번길 41 (유천동),042-531-8192
황산벌포차,"대전광역시 중구 당디로 120 (유천동,(지번변경))",042-585-6376
양반고을,대전광역시 중구 대둔산로 339 (사정동),042-584-3339
돌다리식당,대전광역시 중구 대종로 234-17 (석교동),042-282-1461
왕고집반찬이랑찌개랑,"대전광역시 중구 오류로 58, 1층 (오류동)",042-533-8982
팔도육개장,"대전광역시 중구 중앙로137번길 39 (선화동,(1층))",042-222-0909
소문난칼국수,대전광역시 중구 수침로55번길 47 (태평동),042-531-3966
밀어식당,대전광역시 중구 보문로 69 (부사동),
지코바치킨산성점,대전광역시 중구 보문산로 66-1 (산성동),042-586-9992
알콩달콩,대전광역시 중구 목중로 33 (목동),042-221-0144
진성아구찜,"대전광역시 중구 계룡로882번길 56 (오류동,(1층))",042-273-3999
들장미,대전광역시 중구 보문로 69 (부사동),
장원가,"대전광역시 중구 문창로 133, 1층 (대흥동)",042-254-8238
홀리데이,"대전광역시 중구 계백로1615번길 25, 지하1층 (유천동)",042-222-4455
한밭설렁탕,대전광역시 중구 대종로386번길 38 (문창동),042-257-9186
또래오래태평유천점,"대전광역시 중구 수침로55번길 37, 1층 (태평동)",042-528-9282
24시옛날양푼이동태찌개,대전광역시 중구 대둔산로 496 (유천동),042-584-5167
옥수식당,"대전광역시 중구 보문산로36번길 9, 1층 (산성동)",
문창회집,대전광역시 중구 보문로 39 (문창동),042-283-3124
오늘은삼겹살,대전광역시 중구 수침로55번길 41 (태평동),042-526-1144
장미맨숀,"대전광역시 중구 계룡로882번길 19, 1층 (오류동)",042-522-3531
탑골산마루식당,"대전광역시 중구 보문산로122번길 26, 1층 (산성동)",042-584-4387
홍리성식당,대전광역시 중구 대종로422번길 15 (대흥동),042-255-0213
새한밭식당,"대전광역시 중구 과례로 23 (문화동,(1층))",042-582-6721
옛마당,"대전광역시 중구 계룡로882번길 19, 1층 (오류동)",042-528-7866
이조식당,대전광역시 중구 계백로 1719 (오류동),042-533-9038
맛고을,"대전광역시 중구 동서대로1194번길 18, 1층 (태평동)",042-523-3645
밀리네식당,"대전광역시 중구 대종로 541 (선화동,선화시티빌 105호(1층))",042-254-3497
실내포차취미생활,"대전광역시 중구 당디로 120, 1층 (유천동)",
한민순대,대전광역시 중구 유천로142번길 5 (태평동),042-527-8763
이화식당,대전광역시 중구 보문로336번길 44 (선화동),042-255-8634
꽃가마 식당,"대전광역시 중구 태평로 143, 4,5층 (태평동)",042-522-2766
대명골식당,대전광역시 중구 보문산공원로540번길 4 (대사동),042-252-7675
용두골식당,"대전광역시 중구 용두로 51, 1층 (용두동)",042-226-7645
성산칼국수,대전광역시 중구 대흥로 140-5 (대흥동),042-222-6822
나성식당,"대전광역시 중구 대종로480번길 16, 5층~6층 (은행동)",042-224-0090
토토치킨,"대전광역시 중구 충무로 147 (부사동,(1층))",042-271-4771
무주전집,대전광역시 중구 계백로1615번길 47 (유천동),042-526-3356
장수한우곱창,"대전광역시 중구 목중로19번길 7, 1층 (목동)",042-222-8839
황태골버섯마을,대전광역시 중구 오류로 17-10 (오류동),042-533-8482
광천식당,"대전광역시 중구 과례로 28, 1층 (문화동, 용정빌라)",042-252-0092
대훈식당,대전광역시 중구 보문로346번길 34 (선화동),042-257-0272
수바지락칼국수,"대전광역시 중구 대종로386번길 97, 1층 (문창동)",042-253-2700
옹기칼국수,대전광역시 중구 중촌로28번길 42 (중촌동),042-256-5658
복수분식,"대전광역시 중구 보문로162번길 9, 1층 (대사동)",042-253-6518
대흥동오뎅빠,"대전광역시 중구 보문로260번길 34, 2층 (대흥동)",042-223-0247
왔다삼겹살식당,대전광역시 중구 중앙로121번길 61 (선화동),042-252-4166
덕이네집밥,"대전광역시 중구 보문산로35번길 36, 1층 (산성동)",
사나래식당,대전광역시 중구 대둔산로 407-20 (산성동),
호식이두마리치킨문화2호점,대전광역시 중구 대흥로24번길 33 (대사동),042-252-4848
칼국수만드는사람들,대전광역시 중구 계룡로816번길 25 (오류동),042-536-3234
성열식당,대전광역시 중구 문창로6번길 40 (문창동),042-285-0396
복록수,"대전광역시 중구 계룡로 814, 1층 (오류동)",042-525-2431
장수식당,"대전광역시 중구 인창로 36, 1층 (문창동)",042-221-3022
토박이,대전광역시 중구 중앙로156번길 41-9 (은행동),042-252-3470
금빛코다리,대전광역시 중구 보문산로141번길 43 (산성동),042-586-4995
계동치킨대흥대사점,대전광역시 중구 테미로 14-1 (대흥동),042-251-9232
남강민물장어식당,"대전광역시 중구 동서대로1439번길 23, 1층 (중촌동)",042-254-9749
술마시는 심야식당,"대전광역시 중구 중앙로122번길 14, 1층 (대흥동)",
금성칡 냉면,"대전광역시 중구 동서대로1322번길 44 (용두동,.15 (1층))",042-221-6282
큰구들장생삼겹살,대전광역시 중구 인창로6번길 16 (대흥동),042-221-2060
행복한 집 식당,대전광역시 중구 천근로69번길 114 (문화동),042-581-8211
솔잎식당,대전광역시 중구 보문로48번길 27 (부사동),042-252-5063
양촌골식당,대전광역시 중구 계백로1565번길 19 (유천동),042-532-8117
아저씨돈까스,"대전광역시 중구 중앙로164번길 22-7, 1층~2층 (은행동)",042-221-6595
동남식당,대전광역시 중구 대흥로71번길 5 (대흥동),042-254-0252
아오지탄광촌,대전광역시 중구 문화로 76-1 (산성동),042-581-0482
식사 일번지 식당,대전광역시 중구 오류로 68 (오류동),042-527-8320
선화 콩나물밥 전문 식당,대전광역시 중구 선화로119번길 33 (선화동),042-252-5305
산마을식당,대전광역시 중구 보문산로 37 (산성동),042-582-3197
옥림정숯불갈비,대전광역시 중구 중촌로24번길 43 (중촌동),042-223-3071
조선수제돈까스,"대전광역시 중구 동서대로1440번길 12, 1층 (선화동)",
아우라식당,대전광역시 중구 중앙로122번길 39 (대흥동),042-254-8023
금호식당,대전광역시 중구 수침로55번길 55 (태평동),042-532-3383
대전해물회집,"대전광역시 중구 계백로1618번길 24, 1층 (유천동)",042-585-5211
보보스,대전광역시 중구 중촌로28번길 54 (중촌동),
